shopId,productName,description,brand,category,price
1,드라이버 클럽 460cc,티샷용 드라이버 클럽 남성용,캘러웨이,스포츠/골프,320000
1,드라이버 클럽 여성용,여성용 경량 드라이버 클럽,테일러메이드,스포츠/골프,280000
1,아이언 세트 7개,7개 아이언 풀세트,핑,스포츠/골프,580000
1,골프공 12구,프리미엄 3피스 골프공,타이틀리스트,스포츠/골프,45000
1,골프 캐디백,4륜 바퀴 캐디백 방수,코브라,스포츠/골프,180000
2,퍼터 말렛형,넓은 스위트스팟 말렛 퍼터,오디세이,스포츠/골프,220000
2,골프화 남성,스파이크리스 골프화 방수,풋조이,스포츠/골프,160000
2,골프장갑 남성,천연가죽 골프장갑,타이틀리스트,스포츠/골프,35000
2,우드 3번,페어웨이 우드 3번,테일러메이드,스포츠/골프,250000
3,골프 스윙 연습기,실내 스윙 훈련 도구,미즈노,스포츠/골프,75000
3,골프 티 50개입,나무 골프 티 혼합 높이,기타,스포츠/골프,8000
3,골프 거리측정기,레이저 거리측정기 600m,부시넬,스포츠/골프,320000
