shopId,productName,description,brand,category,price
1,드라이버 클럽 460cc,티샷용 드라이버 클럽 남성용,캘러웨이,스포츠/골프,320000
1,드라이버 클럽 여성용,여성용 경량 드라이버 클럽,테일러메이드,스포츠/골프,280000
1,아이언 세트 7개,7개 아이언 풀세트,핑,스포츠/골프,580000
1,골프공 12구,프리미엄 3피스 골프공,타이틀리스트,스포츠/골프,45000
1,골프 캐디백,4륜 바퀴 캐디백 방수,코브라,스포츠/골프,180000
2,퍼터 말렛형,넓은 스위트스팟 말렛 퍼터,오디세이,스포츠/골프,220000
2,골프화 남성,스파이크리스 골프화 방수,풋조이,스포츠/골프,160000
2,골프장갑 남성,천연가죽 골프장갑,타이틀리스트,스포츠/골프,35000
2,우드 3번,페어웨이 우드 3번,테일러메이드,스포츠/골프,250000
3,골프 스윙 연습기,실내 스윙 훈련 도구,미즈노,스포츠/골프,75000
3,골프 티 50개입,나무 골프 티 혼합 높이,기타,스포츠/골프,8000
3,골프 거리측정기,레이저 거리측정기 600m,부시넬,스포츠/골프,320000
4,민소매 원피스 화이트,시원한 여름 민소매 미디 원피스,트렌드위크,패션/여성의류,45000
4,나시 원피스 블랙,날씬해 보이는 나시 원피스,트렌드위크,패션/여성의류,42000
4,슬리브리스 원피스 플로럴,꽃무늬 슬리브리스 미디 원피스,트렌드위크,패션/여성의류,52000
4,노슬리브 블라우스,우아한 노슬리브 쉬폰 블라우스,트렌드위크,패션/여성의류,38000
5,민소매 티셔츠 5색,기본 민소매 티셔츠 세트,썸머스타일,패션/여성의류,25000
5,나시 크롭탑,배꼽 위 크롭 나시탑,썸머스타일,패션/여성의류,28000
5,린넨 와이드팬츠,시원한 린넨 소재 와이드팬츠,썸머스타일,패션/여성의류,55000
5,썸머 쉬폰 블라우스,반투명 쉬폰 여름 블라우스,썸머스타일,패션/여성의류,35000
6,기본 민소매 흰색,100% 면 기본 민소매,미니멀룩,패션/여성의류,18000
6,슬리브리스 니트,여름용 슬리브리스 니트탑,미니멀룩,패션/여성의류,48000
6,나시 롱원피스,발목 길이 나시 롱원피스,미니멀룩,패션/여성의류,65000
7,블루투스 이어폰 노이즈캔슬링,액티브 노이즈캔슬링 무선 이어폰,소니,전자기기,159000
7,블루투스 헤드폰 오버이어,프리미엄 무선 헤드폰,보스,전자기기,380000
7,삼성 갤럭시탭 S9,11인치 AMOLED 태블릿 256GB,삼성,전자기기,890000
7,삼성 갤럭시탭 A9,10.5인치 기본형 태블릿,삼성,전자기기,370000
8,에어팟 호환 무선이어폰,아이폰 호환 무선 블루투스 이어폰,앤커,전자기기,45000
8,갤럭시 버즈2 프로,삼성 무선 이어버즈,삼성,전자기기,179000
8,무선 이어폰 방수,IPX5 방수 스포츠 무선이어폰,QCY,전자기기,35000
8,블루투스 스피커 방수,야외용 방수 블루투스 스피커,JBL,전자기기,89000
9,무선 키보드 블루투스,멀티페어링 블루투스 키보드,로지텍,전자기기,89000
9,블루투스 마우스,무소음 블루투스 마우스,로지텍,전자기기,65000
9,태블릿 거치대,갤럭시탭 아이패드 호환 거치대,기타,전자기기,25000
