shopId,productName,description,brand,category,price
1,민소매 원피스 화이트,시원한 여름 민소매 미디 원피스,트렌드위크,패션/여성의류,45000
1,나시 원피스 블랙,날씬해 보이는 나시 원피스,트렌드위크,패션/여성의류,42000
1,슬리브리스 원피스 플로럴,꽃무늬 슬리브리스 미디 원피스,트렌드위크,패션/여성의류,52000
1,노슬리브 블라우스,우아한 노슬리브 쉬폰 블라우스,트렌드위크,패션/여성의류,38000
2,민소매 티셔츠 5색,기본 민소매 티셔츠 세트,썸머스타일,패션/여성의류,25000
2,나시 크롭탑,배꼽 위 크롭 나시탑,썸머스타일,패션/여성의류,28000
2,린넨 와이드팬츠,시원한 린넨 소재 와이드팬츠,썸머스타일,패션/여성의류,55000
2,썸머 쉬폰 블라우스,반투명 쉬폰 여름 블라우스,썸머스타일,패션/여성의류,35000
3,기본 민소매 흰색,100% 면 기본 민소매,미니멀룩,패션/여성의류,18000
3,슬리브리스 니트,여름용 슬리브리스 니트탑,미니멀룩,패션/여성의류,48000
3,나시 롱원피스,발목 길이 나시 롱원피스,미니멀룩,패션/여성의류,65000
